
Fall2021-2022(202210),10614,CHEM,200,L2,BasicChemistry&Applications,3,3,AS,51,-1,1100,1215,CHEM,001,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mohamad,Hmadeh,,,
Fall2021-2022(202210),10615,CHEM,200,L3,BasicChemistry&Applications,3,3,AS,50,0,1000,1050,CHEM,001,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Faraj,Hasanayn,,,
Fall2021-2022(202210),10616,CHEM,200,L4,BasicChemistry&Applications,3,3,AS,50,0,1200,1250,CHEM,001,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Faraj,Hasanayn,,,
Fall2021-2022(202210),13254,CHEM,200,L5,BasicChemistry&Applications,3,3,AS,51,-1,1100,1150,NICELY,212,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Randa,AbiRafi',,,
Fall2021-2022(202210),10617,CHEM,201,E1,ChemicalPrinciples,0,0,AS,34,-4,0900,0950,CHEM,001,.,.,.,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Samar,Sadek,10629,,
Fall2021-2022(202210),10618,CHEM,201,E10,ChemicalPrinciples,0,0,AS,26,4,1200,1250,PHYS,331,.,.,.,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Samar,Sadek,10631,,
Fall2021-2022(202210),10619,CHEM,201,E11,ChemicalPrinciples,0,0,AS,31,-1,1230,1320,PHYS,329,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Samar,Sadek,10631,,
Fall2021-2022(202210),10620,CHEM,201,E12,ChemicalPrinciples,0,0,AS,7,23,1400,1450,PHYS,215,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Samar,Sadek,10631,,
Fall2021-2022(202210),10621,CHEM,201,E2,ChemicalPrinciples,0,0,AS,35,-5,1230,1320,PHYS,329,.,.,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Rabih,Sultan,10629,,
Fall2021-2022(202210),10622,CHEM,201,E3,ChemicalPrinciples,0,0,AS,33,-3,1200,1250,PHYS,331,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Samar,Sadek,10629,,
Fall2021-2022(202210),10623,CHEM,201,E4,ChemicalPrinciples,0,0,AS,32,-2,1300,1350,PHYS,215,.,.,.,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Samar,Sadek,10629,,
Fall2021-2022(202210),10624,CHEM,201,E5,ChemicalPrinciples,0,0,AS,28,2,1200,1250,PHYS,329,M,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Samar,Sadek,10630,,
Fall2021-2022(202210),10625,CHEM,201,E6,ChemicalPrinciples,0,0,AS,28,2,1200,1250,PHYS,329,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Lara,Halaoui,10630,,
Fall2021-2022(202210),10626,CHEM,201,E7,ChemicalPrinciples,0,0,AS,30,0,0800,0850,CHEM,001,.,.,.,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Samar,Sadek,10630,,
Fall2021-2022(202210),10627,CHEM,201,E8,ChemicalPrinciples,0,0,AS,29,1,1300,1350,CHEM,101,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Samar,Sadek,10630,,
Fall2021-2022(202210),10628,CHEM,201,E9,ChemicalPrinciples,0,0,AS,23,7,1300,1350,PHYS,215,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Digambara,Patra,10631,,
Fall2021-2022(202210),10629,CHEM,201,L1,ChemicalPrinciples,3,3,AS,134,-14,0900,0950,CHSC,AUDITORIUM,M,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Rabih,Sultan,10617:or10621:or10622:or10623,,
Fall2021-2022(202210),10630,CHEM,201,L2,ChemicalPrinciples,3,3,AS,115,5,1000,1050,BIOL,SLH,M,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Lara,Halaoui,10624:or10625:or10626:or10627,,
Fall2021-2022(202210),10631,CHEM,201,L3,ChemicalPrinciples,3,3,AS,87,33,1100,1150,CHSC,AUDITORIUM,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Digambara,Patra,10618:or10619:or10620:or10628,,
Fall2021-2022(202210),10632,CHEM,201L,B1,Intr.toChemicalAnalysisLab.,0,0,AS,7,3,1300,1559,CHEM,207,M,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Justine,Dagher,10636,,
Fall2021-2022(202210),10633,CHEM,201L,B2,Intr.toChemicalAnalysisLab.,0,0,AS,4,6,1300,1559,CHEM,211,M,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,May,ElJamal,10636,,
Fall2021-2022(202210),10634,CHEM,201L,B3,Intr.toChemicalAnalysisLab.,0,0,AS,10,0,1300,1559,CHEM,207,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Justine,Dagher,10636,,
Fall2021-2022(202210),10635,CHEM,201L,B4,Intr.toChemicalAnalysisLab.,0,0,AS,6,4,1300,1559,CHEM,207,.,.,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,May,ElJamal,10636,,
Fall2021-2022(202210),10636,CHEM,201L,BL,Intr.toChemicalAnalysisLab.,1,1,AS,27,13,1200,1250,CHEM,101,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Randa,AbiRafi',10632:or10633:or10634:or10635,,
Fall2021-2022(202210),10637,CHEM,202,1,IntrotoEnvironmentalChemist,3,3,AS,35,-5,0930,1045,PHYS,217,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Antoine,Ghauch,,,
Fall2021-2022(202210),10638,CHEM,203,B1,IntroductoryChemTechniques,0,0,AS,10,0,1300,1559,CHEM,105,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mohamad,Al-Hallak,10647,,
Fall2021-2022(202210),13285,CHEM,203,B10,IntroductoryChemTechniques,0,0,AS,8,-1,1330,1629,CHEM,111,.,.,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Fatima,Moussa,10648,,
Fall2021-2022(202210),10639,CHEM,203,B2,IntroductoryChemTechniques,0,0,AS,10,0,1300,1559,CHEM,107,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Fatima,Moussa,10647,,
Fall2021-2022(202210),10640,CHEM,203,B3,IntroductoryChemTechniques,0,0,AS,12,-2,1300,1559,CHEM,111,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Patrick,Damacet,10647,,
Fall2021-2022(202210),10641,CHEM,203,B4,IntroductoryChemTechniques,0,0,AS,9,1,1300,1559,CHEM,201,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Amira,Yassine,10647,,
Fall2021-2022(202210),10642,CHEM,203,B5,IntroductoryChemTechniques,0,0,AS,10,0,1300,1559,CHEM,205,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Christina,AlTawil,10647,,
Fall2021-2022(202210),10643,CHEM,203,B6,IntroductoryChemTechniques,0,0,AS,7,3,1300,1559,CHEM,201,M,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Fatima,Moussa,10648,,
Fall2021-2022(202210),10644,CHEM,203,B7,IntroductoryChemTechniques,0,0,AS,10,0,1300,1559,CHEM,205,M,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Christina,AlTawil,10648,,
Fall2021-2022(202210),10645,CHEM,203,B8,IntroductoryChemTechniques,0,0,AS,8,2,1300,1559,CHEM,111,M,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Patrick,Damacet,10648,,
Fall2021-2022(202210),10646,CHEM,203,B9,IntroductoryChemTechniques,0,0,AS,10,0,1330,1630,CHEM,105,.,.,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mohamad,Al-Hallak,10648,,
Fall2021-2022(202210),10647,CHEM,203,L1,IntroductoryChemTechniques,2,2,AS,57,-7,1230,1320,BIOL,SLH,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mazen,Ghoul,10638:or10639:or10640:or10641:or10642,,
Fall2021-2022(202210),10648,CHEM,203,L2,IntroductoryChemTechniques,2,2,AS,37,3,1230,1320,BIOL,SLH,.,.,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mazen,Ghoul,10643:or10644:or10645:or10646:or13285,,
Fall2021-2022(202210),10649,CHEM,205,B1,IntroductoryChemLaboratory,0,0,AS,10,0,1300,1659,CHEM,105,M,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mariam,Barakat,10653,,
Fall2021-2022(202210),10650,CHEM,205,B2,IntroductoryChemLaboratory,0,0,AS,10,0,1300,1659,CHEM,107,M,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Elissa,Shehayeb,10653,,
Fall2021-2022(202210),10651,CHEM,205,B3,IntroductoryChemLaboratory,0,0,AS,8,2,1300,1659,CHEM,105,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ayomipo,Emmanuel,10653,,
Fall2021-2022(202210),10652,CHEM,205,B4,IntroductoryChemLaboratory,0,0,AS,9,1,1300,1659,CHEM,107,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Tamara,AbouMatar,10653,,
Fall2021-2022(202210),10653,CHEM,205,BL,IntroductoryChemLaboratory,2,2,AS,37,3,1230,1320,CHEM,001,.,.,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Samar,Sadek,10649:or10650:or10651:or10652,,
Fall2021-2022(202210),10654,CHEM,208,E1,BriefSurveyofOrganicChem.,0,0,AS,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Fall2021-2022(202210),10655,CHEM,208,E2,BriefSurveyofOrganicChem.,0,0,AS,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Fall2021-2022(202210),10656,CHEM,208,L,BriefSurveyofOrganicChem.,3,3,AS,39,1,1000,1050,CHEM,101,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Makhlouf,Haddadin,,,
Fall2021-2022(202210),10657,CHEM,209,B1,IntroductoryOrganicLab,0,0,AS,6,4,1300,1659,CHEM,309,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Marwa,AlRammal,10661,,
Fall2021-2022(202210),10658,CHEM,209,B2,IntroductoryOrganicLab,0,0,AS,2,8,1300,1659,CHEM,307,M,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Marwa,AlRammal,10661,,
Fall2021-2022(202210),10659,CHEM,209,B3,IntroductoryOrganicLab,0,0,AS,10,0,1300,1659,CHEM,309,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Riham,ElKurdi,10661,,
