
Fall2021-2022(202210),13395,UPEN,001,1,Univ.PreparatoryProgr.English,0,0,AS,3,-3,0800,0950,REYNOL,319,.,T,.,.,.,.,.,0800,0950,REYNOL,319,.,.,.,R,.,.,.,Rima,El-Harake,,,
Fall2021-2022(202210),13302,UPEN,002,1,Univ.PreparatoryProgr.English,0,0,AS,12,-1,0800,0950,REYNOL,318,.,T,.,R,.,.,.,0800,0950,REYNOL,318,.,.,.,.,F,.,.,Rima,El-Harake,,,
Fall2021-2022(202210),13300,UPEN,003,1,Univ.PreparatoryProgr.English,0,0,AS,16,-16,0800,0950,REYNOL,315,M,.,W,.,.,.,.,0800,0950,REYNOL,315,.,T,.,R,.,.,.,Rima,El-Harake,,,
Fall2021-2022(202210),13301,UPEN,003,2,Univ.PreparatoryProgr.English,0,0,AS,15,2,0800,0950,REYNOL,316,M,.,W,.,.,.,.,0900,0950,REYNOL,316,.,.,.,.,F,.,.,Rima,El-Harake,,,
Fall2021-2022(202210),13308,UPIT,001,1,InformationTechnology,0,0,AS,21,1,1630,1720,REYNOL,.,.,.,W,.,.,.,.,1730,1820,REYNOL,.,M,.,.,.,.,.,.,Rima,El-Harake,,,
Fall2021-2022(202210),13309,UPIT,001,2,InformationTechnology,0,0,AS,22,0,1630,1720,REYNOL,.,.,.,.,R,.,.,.,1730,1820,REYNOL,.,.,T,.,.,.,.,.,Rima,El-Harake,,,
Fall2021-2022(202210),13305,UPMA,001,1,SATMath,0,0,AS,21,1,1530,1720,REYNOL,.,M,.,.,.,.,.,.,1530,1620,REYNOL,.,.,.,W,.,F,.,.,Rima,El-Harake,,,
Fall2021-2022(202210),13307,UPMA,001,2,SATMath,0,0,AS,22,0,1530,1720,REYNOL,.,.,T,.,.,.,.,.,1530,1620,REYNOL,.,.,.,.,R,.,.,.,Rima,El-Harake,,,
Fall2021-2022(202210),13303,UPSC,001,1,Science,0,0,AS,16,-16,1100,1150,REYNOL,315,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Rima,El-Harake,,,
Fall2021-2022(202210),13304,UPSC,001,2,Science,0,0,AS,15,2,0900,0950,REYNOL,316,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Rima,El-Harake,,,
Fall2021-2022(202210),13000,URDS,601,1,Planning&DesignWorkshop,6,6,EA,1,7,1000,1250,.,.,.,T,.,.,.,.,.,1000,1250,.,.,.,.,.,.,F,.,.,Serge,Yazigi,,,
Fall2021-2022(202210),13001,URDS,603,1,ComprehensiveExam,0,0,EA,4,8,1600,1650,.,.,.,.,.,.,.,.,U,.,.,.,.,.,.,.,.,.,.,.,Mona,Harb,,,
Fall2021-2022(202210),13002,URDS,604,1,UrbanDesignThesis,6,6,EA,1,5,0800,0850,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mona,Harb,,,
