
Fall2021-2022(202210),11663,FEAA,200,1,Intr.toEngineer.&Architectu.,3,3,EA,15,4,0800,0915,MAMC,ELH,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Sara,Khaddaj,,,
Fall2021-2022(202210),11664,FEAA,200,10,Intr.toEngineer.&Architectu.,3,3,EA,40,2,0930,1045,MAMC,ELH,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Sara,Khaddaj,,,
Fall2021-2022(202210),11665,FEAA,200,11,Intr.toEngineer.&Architectu.,3,3,EA,17,0,0930,1045,MAMC,ELH,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Sara,Khaddaj,,,
Fall2021-2022(202210),11666,FEAA,200,12,Intr.toEngineer.&Architectu.,3,3,EA,17,0,0930,1045,MAMC,ELH,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Sara,Khaddaj,,,
Fall2021-2022(202210),11667,FEAA,200,13,Intr.toEngineer.&Architectu.,3,3,EA,19,0,1100,1215,MAMC,ELH,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Sara,Khaddaj,,,
Fall2021-2022(202210),11668,FEAA,200,14,Intr.toEngineer.&Architectu.,3,3,EA,34,8,1100,1215,MAMC,ELH,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Sara,Khaddaj,,,
Fall2021-2022(202210),11669,FEAA,200,15,Intr.toEngineer.&Architectu.,3,3,EA,57,0,1100,1215,MAMC,ELH,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Sara,Khaddaj,,,
Fall2021-2022(202210),11670,FEAA,200,16,Intr.toEngineer.&Architectu.,3,3,EA,18,24,1100,1215,MAMC,ELH,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Sara,Khaddaj,,,
Fall2021-2022(202210),11671,FEAA,200,17,Intr.toEngineer.&Architectu.,3,3,EA,17,0,1100,1215,MAMC,ELH,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Sara,Khaddaj,,,
Fall2021-2022(202210),11672,FEAA,200,18,Intr.toEngineer.&Architectu.,3,3,EA,17,0,1100,1215,MAMC,ELH,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Sara,Khaddaj,,,
